english,chinese
survey,调查
survive,幸存
suspect,怀疑
swear,发誓
sweet,甜的
swim,游泳
swing,摇摆
table,桌子
take,拿
talk,谈话
tall,高的
task,任务
taste,味道
tax,税
tea,茶
teach,教授
teacher,老师
team,队
tear,眼泪
technical,技术的
technique,技术
technology,技术
telephone,电话
television,电视
tell,告诉
temperature,温度
temporary,临时的
tend,倾向
tendency,倾向
term,学期
terrible,可怕的
test,测试
text,文本
than,比
thank,感谢
that,那个
the,这
theatre,剧院
their,他们的
them,他们
themselves,他们自己
then,然后
theory,理论
there,那里
therefore,因此
these,这些
they,他们
thick,厚的
thin,薄的
thing,东西
think,思考
third,第三
thirsty,口渴的
thorough,彻底的
those,那些
though,虽然
thought,思想
thousand,千
threat,威胁
threaten,威胁
through,通过
throughout,遍及
throw,投
thus,因此
ticket,票
tie,系
tight,紧的
time,时间
tiny,微小的
tip,尖端
tire,疲劳
tired,疲倦的
title,标题
to,到
today,今天
together,一起
tomorrow,明天
tone,语气
too,也
tool,工具
tooth,牙齿
top,顶部
total,总计
touch,触摸
toward,向
town,城镇
track,轨道
trade,贸易
tradition,传统
traditional,传统的
traffic,交通
train,火车
training,训练
transfer,转移
travel,旅行
treat,对待
treatment,治疗
tree,树
tremendous,巨大的
trend,趋势
trial,试验
tribe,部落
trick,诡计
trip,旅行
trouble,麻烦
truck,卡车
true,真实的
trust,信任
truth,真理
try,尝试
tube,管
turn,转动
twice,两次
type,类型
typical,典型的
ugly,丑陋的
ultimate,最终的
unable,不能的
uncle,叔叔
under,在…下
undergo,经历
understand,理解
understanding,理解
undertake,承担
unexpected,意外的
unfair,不公平的
unfortunate,不幸的
unhappy,不快乐的
uniform,制服
union,联盟
unique,独特的
unit,单位
unite,联合
universal,普遍的
universe,宇宙
university,大学
unknown,未知的
unless,除非
unlike,不像
unlikely,不大可能的
until,直到
unusual,不寻常的
up,向上
update,更新
upon,在…上
upper,上部的
upset,心烦的
urban,城市的
urge,催促
urgent,紧急的
use,使用
used,用过的
useful,有用的
usual,通常的
valuable,有价值的
value,价值
various,各种各样的
vary,变化
vast,巨大的
vehicle,车辆
version,版本
very,很
via,通过
victim,受害者
victory,胜利
video,视频
view,看法
village,村庄
violence,暴力
violent,暴力的
virtual,虚拟的
virtue,美德
virus,病毒
visit,访问
visitor,访客
voice,声音
volume,体积
volunteer,志愿者
vote,投票
wage,工资
wait,等待
walk,走
wall,墙
want,想要
war,战争
warm,温暖的
warn,警告
wash,洗
waste,浪费
watch,观看
water,水
wave,波浪
way,方式
we,我们
weak,虚弱的
wealth,财富
weapon,武器
wear,穿着
weather,天气
week,星期
weekend,周末
weight,重量
welcome,欢迎
well,好
west,西方
wet,湿的
what,什么
whatever,无论什么
wheel,轮子
when,什么时候
where,在哪里
whether,是否
which,哪个
while,当…时候
whisper,低语
white,白色的
who,谁
whole,整个的
whom,谁
whose,谁的
why,为什么
wide,宽的
wife,妻子
wild,野生的
will,将要
win,赢
wind,风
window,窗户
wine,葡萄酒
wing,翅膀
winner,获胜者
winter,冬天
wish,希望
with,和…一起
within,在…内
without,没有
witness,目击者
woman,女人
wonder,想知道
wonderful,极好的
wood,木材
word,词
work,工作
worker,工人
world,世界
worry,担心
worse,更坏的
worst,最坏的
worth,值得的
would,将会
write,写
wrong,错误的
yard,码
yeah,是的
year,年
yes,是
yesterday,昨天
yet,还
you,你
young,年轻的
your,你的
yourself,你自己
youth,青年
zero,零
zone,地带
